duel,ply,algorithm,eval_name,order_name,depth,player_hp,npc_hp,player_potions,npc_potions,player_defending,npc_defending,best_action,best_score,minimax_nodes,alphabeta_nodes,pruned_nodes,cutoffs,prune_efficiency,evaluations,time_ms,is_last
7,8,alphabeta,balanced,default,4,48,33,3,3,False,False,ATTACK,-12,0,238,0,30,0.0,171,2.319,False
7,10,alphabeta,balanced,default,4,33,13,3,3,False,False,POTION,-38,0,123,0,16,0.0,86,1.187,False
7,12,alphabeta,balanced,default,4,33,22,3,2,False,False,POTION,-39,0,182,0,22,0.0,128,2.089,False
7,14,alphabeta,balanced,default,4,33,32,3,1,False,False,ATTACK,-18,0,188,0,26,0.0,132,2.487,False
7,16,alphabeta,balanced,default,4,17,32,3,1,True,False,POTION,-5,0,152,0,25,0.0,104,1.507,False
7,18,alphabeta,balanced,default,4,17,57,3,0,True,False,ATTACK,4,0,86,0,13,0.0,57,0.839,False
7,20,alphabeta,balanced,default,4,34,57,2,0,False,False,ATTACK,6,0,114,0,14,0.0,79,1.094,False
7,22,alphabeta,balanced,default,4,40,57,1,0,False,False,ATTACK,10,0,128,0,14,0.0,88,1.231,False
7,24,alphabeta,balanced,default,4,22,57,1,0,True,False,ATTACK,19,0,98,0,13,0.0,65,0.945,False
7,26,alphabeta,balanced,default,4,37,57,0,0,False,False,SPECIAL,1027,0,73,0,10,0.0,45,0.703,False
7,28,alphabeta,balanced,default,4,7,27,0,0,False,False,ATTACK,1027,0,8,0,2,0.0,4,0.087,True
8,2,alphabeta,balanced,default,4,100,82,3,3,False,False,ATTACK,-18,0,207,0,27,0.0,146,2.062,False
8,4,alphabeta,balanced,default,4,80,64,3,3,False,False,ATTACK,-16,0,234,0,31,0.0,167,2.235,False
8,6,alphabeta,balanced,default,4,63,44,3,3,False,False,POTION,-22,0,225,0,26,0.0,161,2.166,False
8,8,alphabeta,balanced,default,4,63,51,3,2,False,False,ATTACK,-22,0,237,0,31,0.0,170,2.286,False
8,10,alphabeta,balanced,default,4,46,32,3,2,False,False,ATTACK,-21,0,238,0,30,0.0,171,2.275,False
8,12,alphabeta,balanced,default,4,26,32,3,2,True,False,POTION,-4,0,237,0,31,0.0,171,2.429,False
8,14,alphabeta,balanced,default,4,26,57,3,1,True,False,POTION,11,0,211,0,28,0.0,151,2.034,False
8,16,alphabeta,balanced,default,4,26,82,3,0,True,False,ATTACK,20,0,119,0,13,0.0,83,1.121,False
8,18,alphabeta,balanced,default,4,17,82,3,0,True,False,ATTACK,29,0,86,0,13,0.0,57,0.827,False
8,20,alphabeta,balanced,default,4,33,82,2,0,False,False,ATTACK,32,0,110,0,13,0.0,76,1.046,False
8,22,alphabeta,balanced,default,4,16,82,2,0,True,False,ATTACK,40,0,86,0,13,0.0,57,0.825,False
8,24,alphabeta,balanced,default,4,33,82,1,0,False,False,ATTACK,42,0,102,0,13,0.0,68,0.98,False
8,26,alphabeta,balanced,default,4,40,82,0,0,False,False,SPECIAL,57,0,78,0,9,0.0,49,0.757,False
8,28,alphabeta,balanced,default,4,10,82,0,0,True,False,ATTACK,1052,0,27,0,5,0.0,14,0.274,True
9,2,alphabeta,balanced,default,4,100,83,3,3,False,False,ATTACK,-17,0,207,0,27,0.0,146,1.978,False
9,4,alphabeta,balanced,default,4,85,68,3,3,False,False,ATTACK,-17,0,222,0,29,0.0,158,2.162,False
9,6,alphabeta,balanced,default,4,66,53,3,3,False,False,ATTACK,-13,0,237,0,31,0.0,170,2.397,False
9,8,alphabeta,balanced,default,4,48,33,3,3,False,False,ATTACK,-12,0,238,0,30,0.0,171,2.31,False
9,10,alphabeta,balanced,default,4,32,13,3,3,False,False,POTION,-37,0,123,0,16,0.0,86,1.176,False
9,12,alphabeta,balanced,default,4,32,21,3,2,False,False,POTION,-39,0,182,0,22,0.0,128,1.616,False
9,14,alphabeta,balanced,default,4,32,31,3,1,False,False,ATTACK,-18,0,188,0,26,0.0,132,1.671,False
9,16,alphabeta,balanced,default,4,38,31,2,1,False,False,ATTACK,-14,0,212,0,27,0.0,151,2.374,False
9,18,alphabeta,balanced,default,4,20,31,2,1,True,False,POTION,1,0,202,0,26,0.0,144,2.006,False
9,20,alphabeta,balanced,default,4,20,56,2,0,True,False,ATTACK,10,0,106,0,13,0.0,73,0.949,False
9,22,alphabeta,balanced,default,4,36,56,1,0,False,False,ATTACK,13,0,106,0,14,0.0,71,0.957,False
9,24,alphabeta,balanced,default,4,16,56,1,0,True,False,ATTACK,24,0,78,0,13,0.0,49,0.71,False
9,26,alphabeta,balanced,default,4,33,56,0,0,False,False,ATTACK,1026,0,63,0,9,0.0,38,0.574,False
9,28,alphabeta,balanced,default,4,13,26,0,0,False,False,ATTACK,1026,0,15,0,3,0.0,9,0.144,True
10,2,alphabeta,balanced,default,4,100,84,3,3,False,False,ATTACK,-16,0,204,0,27,0.0,143,1.836,False
10,4,alphabeta,balanced,default,4,83,66,3,3,False,False,ATTACK,-17,0,234,0,31,0.0,167,2.165,False
10,6,alphabeta,balanced,default,4,65,46,3,3,False,False,POTION,-22,0,225,0,26,0.0,161,1.979,False
10,8,alphabeta,balanced,default,4,65,53,3,2,False,False,ATTACK,-22,0,237,0,31,0.0,170,2.096,False
10,10,alphabeta,balanced,default,4,50,36,3,2,False,False,POTION,-27,0,203,0,27,0.0,142,1.831,False
10,12,alphabeta,balanced,default,4,50,41,3,1,False,False,POTION,-32,0,213,0,23,0.0,152,1.893,False
10,14,alphabeta,balanced,default,4,50,48,3,0,False,False,SPECIAL,-41,0,127,0,11,0.0,88,1.132,False
10,16,alphabeta,balanced,default,4,20,18,3,0,False,False,ATTACK,-1032,0,35,0,5,0.0,21,0.328,True
11,2,alphabeta,balanced,default,4,100,82,3,3,False,False,ATTACK,-18,0,207,0,27,0.0,146,1.919,False
11,4,alphabeta,balanced,default,4,85,64,3,3,False,False,ATTACK,-21,0,222,0,29,0.0,158,2.226,False
11,6,alphabeta,balanced,default,4,69,44,3,3,False,False,POTION,-28,0,225,0,26,0.0,161,2.02,False
11,8,alphabeta,balanced,default,4,69,50,3,2,False,False,ATTACK,-29,0,237,0,31,0.0,170,2.09,False
11,10,alphabeta,balanced,default,4,52,30,3,2,False,False,POTION,-35,0,212,0,22,0.0,153,1.889,False
11,12,alphabeta,balanced,default,4,52,37,3,1,False,False,POTION,-38,0,194,0,24,0.0,136,1.716,False
11,14,alphabeta,balanced,default,4,52,46,3,0,False,False,SPECIAL,-45,0,127,0,11,0.0,88,1.329,False
11,16,alphabeta,balanced,default,4,22,16,3,0,False,False,ATTACK,-1034,0,35,0,5,0.0,21,0.502,True
12,2,alphabeta,balanced,default,4,100,82,3,3,False,False,ATTACK,-18,0,207,0,27,0.0,146,1.83,False
12,4,alphabeta,balanced,default,4,81,64,3,3,False,False,ATTACK,-17,0,234,0,31,0.0,167,2.029,False
12,6,alphabeta,balanced,default,4,62,49,3,3,False,False,ATTACK,-13,0,237,0,31,0.0,170,2.15,False
12,8,alphabeta,balanced,default,4,42,29,3,3,False,False,POTION,-16,0,231,0,24,0.0,168,1.991,False
12,10,alphabeta,balanced,default,4,42,36,3,2,False,False,ATTACK,-13,0,234,0,30,0.0,168,2.197,False
12,12,alphabeta,balanced,default,4,22,36,3,2,True,False,POTION,4,0,210,0,30,0.0,150,1.886,False
12,14,alphabeta,balanced,default,4,22,61,3,1,True,False,POTION,19,0,193,0,27,0.0,137,1.71,False
12,16,alphabeta,balanced,default,4,22,86,3,0,True,False,ATTACK,28,0,106,0,13,0.0,73,0.952,False
12,18,alphabeta,balanced,default,4,39,86,2,0,False,False,ATTACK,30,0,127,0,15,0.0,89,1.118,False
12,20,alphabeta,balanced,default,4,19,86,2,0,True,False,ATTACK,41,0,106,0,13,0.0,73,0.945,False
12,22,alphabeta,balanced,default,4,36,86,1,0,False,False,ATTACK,43,0,106,0,14,0.0,71,0.937,False
12,24,alphabeta,balanced,default,4,18,86,1,0,True,False,ATTACK,52,0,78,0,13,0.0,49,0.715,False
12,26,alphabeta,balanced,default,4,34,86,0,0,False,False,SPECIAL,1056,0,63,0,9,0.0,38,0.571,False
12,28,alphabeta,balanced,default,4,4,56,0,0,False,False,ATTACK,1056,0,8,0,2,0.0,4,0.081,True
13,2,alphabeta,balanced,default,4,100,81,3,3,False,False,ATTACK,-19,0,207,0,27,0.0,146,2.548,False
13,4,alphabeta,balanced,default,4,82,66,3,3,False,False,ATTACK,-16,0,234,0,31,0.0,167,2.31,False
13,6,alphabeta,balanced,default,4,62,51,3,3,False,False,ATTACK,-11,0,237,0,31,0.0,170,2.136,False
13,8,alphabeta,balanced,default,4,44,34,3,3,False,False,ATTACK,-7,0,234,0,30,0.0,168,1.859,False
13,10,alphabeta,balanced,default,4,28,34,3,3,True,False,POTION,6,0,248,0,31,0.0,180,1.908,False
13,12,alphabeta,balanced,default,4,28,59,3,2,True,False,POTION,21,0,243,0,34,0.0,175,1.898,False
13,14,alphabeta,balanced,default,4,28,84,3,1,True,False,ATTACK,30,0,220,0,30,0.0,156,1.674,False
13,16,alphabeta,balanced,default,4,20,84,3,1,True,False,ATTACK,38,0,184,0,27,0.0,128,1.409,False
13,18,alphabeta,balanced,default,4,37,84,2,1,False,False,ATTACK,40,0,212,0,30,0.0,149,1.611,False
13,20,alphabeta,balanced,default,4,21,84,2,1,True,False,ATTACK,47,0,184,0,27,0.0,128,1.888,False
13,22,alphabeta,balanced,default,4,36,84,1,1,False,False,ATTACK,51,0,183,0,28,0.0,124,1.588,False
13,24,alphabeta,balanced,default,4,18,84,1,1,True,False,ATTACK,60,0,132,0,25,0.0,84,1.139,False
13,26,alphabeta,balanced,default,4,33,84,0,1,False,False,ATTACK,1064,0,115,0,20,0.0,71,0.869,False
13,28,alphabeta,balanced,default,4,15,54,0,1,False,False,ATTACK,1064,0,33,0,7,0.0,19,0.261,True
14,2,alphabeta,balanced,default,4,100,80,3,3,False,False,ATTACK,-20,0,207,0,27,0.0,146,2.003,False
14,4,alphabeta,balanced,default,4,80,65,3,3,False,False,ATTACK,-15,0,234,0,31,0.0,167,1.955,False
14,6,alphabeta,balanced,default,4,65,50,3,3,False,False,ATTACK,-15,0,237,0,31,0.0,170,3.108,False
14,8,alphabeta,balanced,default,4,46,32,3,3,False,False,ATTACK,-11,0,238,0,30,0.0,171,2.828,False
14,10,alphabeta,balanced,default,4,29,32,3,3,True,False,POTION,3,0,257,0,31,0.0,187,2.465,False
14,12,alphabeta,balanced,default,4,29,57,3,2,True,False,POTION,18,0,246,0,34,0.0,178,1.777,False
14,14,alphabeta,balanced,default,4,29,82,3,1,True,False,ATTACK,27,0,229,0,30,0.0,165,1.67,False
14,16,alphabeta,balanced,default,4,19,82,3,1,True,False,ATTACK,37,0,193,0,27,0.0,137,1.394,False
14,18,alphabeta,balanced,default,4,34,82,2,1,False,False,ATTACK,41,0,203,0,28,0.0,144,1.466,False
14,20,alphabeta,balanced,default,4,19,82,2,1,True,False,ATTACK,47,0,193,0,27,0.0,137,1.505,False
14,22,alphabeta,balanced,default,4,36,82,1,1,False,False,ATTACK,49,0,189,0,28,0.0,130,1.478,False
14,24,alphabeta,balanced,default,4,17,82,1,1,True,False,ATTACK,59,0,138,0,25,0.0,90,1.094,False
14,26,alphabeta,balanced,default,4,34,82,0,1,False,False,SPECIAL,1062,0,113,0,19,0.0,70,0.967,False
14,28,alphabeta,balanced,default,4,4,52,0,1,False,False,ATTACK,1062,0,17,0,5,0.0,8,0.183,True
15,2,alphabeta,balanced,default,4,100,81,3,3,False,False,ATTACK,-19,0,207,0,27,0.0,146,1.633,False
15,4,alphabeta,balanced,default,4,80,65,3,3,False,False,ATTACK,-15,0,234,0,31,0.0,167,1.838,False
15,6,alphabeta,balanced,default,4,63,47,3,3,False,False,POTION,-19,0,225,0,26,0.0,161,2.013,False
15,8,alphabeta,balanced,default,4,63,57,3,2,False,False,ATTACK,-16,0,237,0,31,0.0,170,2.225,False
15,10,alphabeta,balanced,default,4,47,37,3,2,False,False,ATTACK,-17,0,234,0,30,0.0,168,2.051,False
15,12,alphabeta,balanced,default,4,31,22,3,2,False,False,POTION,-37,0,182,0,22,0.0,128,1.42,False
15,14,alphabeta,balanced,default,4,31,29,3,1,False,False,POTION,-25,0,191,0,22,0.0,136,1.483,False
15,16,alphabeta,balanced,default,4,31,38,3,0,False,False,ATTACK,-20,0,100,0,13,0.0,68,1.093,False
15,18,alphabeta,balanced,default,4,16,38,3,0,True,False,ATTACK,-14,0,86,0,13,0.0,57,0.845,False
15,20,alphabeta,balanced,default,4,32,38,2,0,False,False,ATTACK,-11,0,100,0,13,0.0,68,1.824,False
15,22,alphabeta,balanced,default,4,38,38,1,0,False,False,ATTACK,-7,0,109,0,14,0.0,73,1.263,False
15,24,alphabeta,balanced,default,4,23,38,1,0,True,False,ATTACK,-1,0,98,0,12,0.0,65,1.06,False
15,26,alphabeta,balanced,default,4,39,38,0,0,False,False,SPECIAL,1008,0,65,0,9,0.0,39,0.508,False
15,28,alphabeta,balanced,default,4,9,8,0,0,False,False,ATTACK,1008,0,5,0,1,0.0,3,0.046,True
16,2,alphabeta,balanced,default,4,100,81,3,3,False,False,ATTACK,-19,0,207,0,27,0.0,146,1.583,False
16,4,alphabeta,balanced,default,4,84,65,3,3,False,False,ATTACK,-19,0,222,0,29,0.0,158,1.689,False
16,6,alphabeta,balanced,default,4,67,47,3,3,False,False,POTION,-23,0,225,0,26,0.0,161,1.717,False
16,8,alphabeta,balanced,default,4,67,56,3,2,False,False,ATTACK,-21,0,237,0,31,0.0,170,1.773,False
16,10,alphabeta,balanced,default,4,51,37,3,2,False,False,POTION,-27,0,206,0,27,0.0,145,1.917,False
16,12,alphabeta,balanced,default,4,51,47,3,1,False,False,POTION,-27,0,213,0,23,0.0,152,1.65,False
16,14,alphabeta,balanced,default,4,51,52,3,0,False,False,ATTACK,-29,0,138,0,15,0.0,97,1.169,False
16,16,alphabeta,balanced,default,4,34,33,3,0,False,False,ATTACK,-28,0,108,0,14,0.0,74,0.847,False
16,18,alphabeta,balanced,default,4,39,33,2,0,False,False,ATTACK,-23,0,121,0,15,0.0,84,0.886,False
16,20,alphabeta,balanced,default,4,20,33,2,0,True,False,ATTACK,-13,0,111,0,12,0.0,77,0.806,False
16,22,alphabeta,balanced,default,4,37,33,1,0,False,False,ATTACK,-11,0,113,0,15,0.0,76,0.818,False
16,24,alphabeta,balanced,default,4,18,33,1,0,True,False,ATTACK,-1,0,78,0,13,0.0,49,0.655,False
16,26,alphabeta,balanced,default,4,33,33,0,0,False,False,ATTACK,1003,0,58,0,9,0.0,34,0.439,False
16,28,alphabeta,balanced,default,4,17,33,0,0,True,False,ATTACK,1003,0,45,0,9,0.0,25,0.587,False
16,30,alphabeta,balanced,default,4,8,3,0,0,False,False,ATTACK,1003,0,6,0,1,0.0,4,0.063,True
17,2,alphabeta,balanced,default,4,100,83,3,3,False,False,ATTACK,-17,0,207,0,27,0.0,146,1.462,False
17,4,alphabeta,balanced,default,4,84,63,3,3,False,False,ATTACK,-21,0,222,0,29,0.0,158,1.593,False
17,6,alphabeta,balanced,default,4,69,46,3,3,False,False,POTION,-26,0,225,0,26,0.0,161,1.718,False
17,8,alphabeta,balanced,default,4,69,53,3,2,False,False,ATTACK,-26,0,237,0,31,0.0,170,1.77,False
17,10,alphabeta,balanced,default,4,52,37,3,2,False,False,POTION,-28,0,206,0,27,0.0,145,1.533,False
17,12,alphabeta,balanced,default,4,52,42,3,1,False,False,POTION,-33,0,213,0,23,0.0,152,1.543,False
